title,year,authors,key,ee,venue_category
Enabling Consistency between Software Artefacts for Software Adaption and Evolution.,2021,David Monschein & Manar Mazkatli & Robert Heinrich & Anne Koziolek,conf/icsa/MonscheinMHK21,https://doi.org/10.1109/ICSA51549.2021.00009,Software_Architecture
Unsupervised Domain Adaptation for Transferring Plant Classification Systems to New Field Environments; Crops; and Robots.,2020,Dario Gogoll & Philipp Lottes & Jan Weyler & Nik Petrinic & Cyrill Stachniss,conf/iros/GogollLWPS20,https://doi.org/10.1109/IROS45743.2020.9341277,Robotics
Path planning with force-based foothold adaptation and virtual model control for torque controlled quadruped robots.,2014,Alexander W. Winkler & Ioannis Havoutis & Stéphane Bazeille & Jesús Ortiz & Michele Focchi & Rüdiger Dillmann & Darwin G. Caldwell & Claudio Semini,conf/icra/WinklerHBOFDCS14,https://doi.org/10.1109/ICRA.2014.6907815,Robotics
Compliant Electromagnetic Actuator Architecture for Soft Robotics.,2020,Noah Kohls & Beatriz Dias & Yaw Mensah & Bryan P. Ruddy & Yi Chen Mazumdar,conf/icra/KohlsDMRM20,https://doi.org/10.1109/ICRA40945.2020.9197442,Robotics
Delay Compensation for a Telepresence System With 3D 360 Degree Vision Based on Deep Head Motion Prediction and Dynamic FoV Adaptation.,2018,Tamay Aykut & Mojtaba Karimi & Christoph Burgmair & Andreas Finkenzeller & Christoph Bachhuber & Eckehard G. Steinbach,journals/ral/AykutKBFBS18,https://doi.org/10.1109/LRA.2018.2864359,Robotics
Learning Task-Oriented Grasping for Tool Manipulation from Simulated Self-Supervision.,2018,Kuan Fang & Yuke Zhu & Animesh Garg & Andrey Kurenkov & Viraj Mehta & Li Fei-Fei 0001 & Silvio Savarese,conf/rss/FangZGKMFS18,http://www.roboticsproceedings.org/rss14/p12.html,Robotics
Position tracking and sensors self-calibration in autonomous mobile robots by Gauss-Newton optimization.,2014,Davide Antonio Cucci & Matteo Matteucci,conf/icra/CucciM14,https://doi.org/10.1109/ICRA.2014.6907016,Robotics
Learning Fast Adaptation With Meta Strategy Optimization.,2020,Wenhao Yu 0003 & Jie Tan & Yunfei Bai & Erwin Coumans & Sehoon Ha,journals/ral/YuTBCH20,https://doi.org/10.1109/LRA.2020.2974685,Robotics
What My Motion tells me about Your Pose: A Self-Supervised Monocular 3D Vehicle Detector.,2021,Cédric Picron & Punarjay Chakravarty & Tom Roussel & Tinne Tuytelaars,conf/icra/PicronCRT21,https://doi.org/10.1109/ICRA48506.2021.9562086,Robotics
Adaptive Robotic Tool-Tip Control Learning Considering Online Changes in Grasping State.,2021,Kento Kawaharazuka & Kei Okada & Masayuki Inaba,journals/ral/KawaharazukaOI21,https://doi.org/10.1109/LRA.2021.3088807,Robotics
An Expressiveness Hierarchy of Behavior Trees and Related Architectures.,2021,Oliver Biggar & Mohammad Zamani & Iman Shames,journals/ral/BiggarZS21,https://doi.org/10.1109/LRA.2021.3074337,Robotics
ℒ1-Adaptive MPPI Architecture for Robust and Agile Control of Multirotors.,2020,Jintasit Pravitra & Kasey A. Ackerman & Chengyu Cao & Naira Hovakimyan & Evangelos A. Theodorou,conf/iros/PravitraACHT20,https://doi.org/10.1109/IROS45743.2020.9341154,Robotics
A comparative analysis of self-adaptive patterns in cyber-physical systems.,2018,Mohammad Sharaf & Henry Muccini & Apurvanand Sahay,conf/ecsa/SharafMS18,https://doi.org/10.1145/3241403.3241451,Software_Architecture
Compartmentalized Covariance Intersection: A Novel Filter Architecture for Distributed Localization*.,2021,Adam Wiktor & Stephen Rock,conf/icra/WiktorR21,https://doi.org/10.1109/ICRA48506.2021.9562080,Robotics
Detaching and Boosting: Dual Engine for Scale-Invariant Self-Supervised Monocular Depth Estimation.,2022,Peizhe Jiang & Wei Yang & Xiaoqing Ye & Xiao Tan 0001 & Meng Wu,journals/ral/JiangYYTW22,https://doi.org/10.1109/LRA.2022.3210877,Robotics
MIDAS: Multi-agent Interaction-aware Decision-making with Adaptive Strategies for Urban Autonomous Navigation.,2021,Xiaoyi Chen & Pratik Chaudhari,conf/icra/ChenC21,https://doi.org/10.1109/ICRA48506.2021.9561148,Robotics
Formally Describing Self-organizing Architectures for Systems-of-Systems on the Internet-of-Things.,2018,Flávio Oquendo,conf/ecsa/Oquendo18,https://doi.org/10.1007/978-3-030-00761-4_2,Software_Architecture
