title,year,authors,key,ee,venue_category
Gaussian Process Adaptive Sampling Using the Cross-Entropy Method for Environmental Sensing and Monitoring.,2018,Tan Yew Teck & Abhinav Kunapareddy & Marin Kobilarov,conf/icra/TeckKK18,https://doi.org/10.1109/ICRA.2018.8460821,Robotics
Probabilistic approaches for self-tuning path tracking controllers using prior knowledge of the terrain.,2016,Alvaro Javier Prado & Fernando Alfredo Auat Cheeín & Miguel Torres-Torriti,conf/iros/PradoCT16,https://doi.org/10.1109/IROS.2016.7759479,Robotics
Adaptive 3D pose computation of suturing needle using constraints from static monocular image feedback.,2016,Fangxun Zhong & David Navarro-Alarcon & Zerui Wang & Yunhui Liu & Tianxue Zhang & Hiu Man Yip & Hesheng Wang 0001,conf/iros/ZhongNWLZYW16,https://doi.org/10.1109/IROS.2016.7759812,Robotics
Modeling and Control of Morphing Covers for the Adaptive Morphology of Humanoid Robots.,2022,Fabio Bergonti & Gabriele Nava & Luca Fiorio & Giuseppe L'Erario & Daniele Pucci,journals/trob/BergontiNFLP22,https://doi.org/10.1109/TRO.2022.3170281,Robotics
Adaptive control for takeoff; hovering; and landing of a robotic fly.,2013,Pakpong Chirarattananon & Kevin Y. Ma & Robert J. Wood,conf/iros/ChirarattananonMW13,https://doi.org/10.1109/IROS.2013.6696901,Robotics
Employing Magnets to Improve the Force Exertion Capabilities of Adaptive Robot Hands in Precision Grasps.,2019,Lucas Gerez & Geng Gao & Minas V. Liarokapis,conf/iros/GerezGL19,https://doi.org/10.1109/IROS40897.2019.8967939,Robotics
An Energy Tank-Based Interactive Control Architecture for Autonomous and Teleoperated Robotic Surgery.,2015,Federica Ferraguti & Nicola Preda & Auralius Manurung & Marcello Bonfè & Olivier Lambercy & Roger Gassert & Riccardo Muradore & Paolo Fiorini & Cristian Secchi,journals/trob/FerragutiPMBLGM15,https://doi.org/10.1109/TRO.2015.2455791,Robotics
Deformation Capture via Self-Sensing Capacitive Arrays (Video).,2018,Oliver Glauser & Daniele Panozzo & Otmar Hilliges & Olga Sorkine-Hornung,conf/iros/GlauserPHS18,https://doi.org/10.1109/IROS.2018.8594203,Robotics
Robust Self-Supervised LiDAR Odometry Via Representative Structure Discovery and 3D Inherent Error Modeling.,2022,Yan Xu & Junyi Lin & Jianping Shi & Guofeng Zhang 0001 & Xiaogang Wang 0001 & Hongsheng Li 0001,journals/ral/XuLSZWL22,https://doi.org/10.1109/LRA.2022.3140794,Robotics
Online Adaptive Identification and Switching of Soft Contact Model Based on ART-II Method.,2022,Yi Liu & Di Wu & Fengtao Han & Jing Guo & Zhaoshui He & Chao Liu 0003,conf/icra/LiuWHGHL22,https://doi.org/10.1109/ICRA46639.2022.9811740,Robotics
A game-theoretic approach for adaptive action selection in close proximity human-robot-collaboration.,2017,Volker Gabler & Tim Stahl & Gerold Huber & Ozgur S. Oguz & Dirk Wollherr,conf/icra/GablerSHOW17,https://doi.org/10.1109/ICRA.2017.7989336,Robotics
Adaptive Tank-based Control for Aerial Physical Interaction with Uncertain Dynamic Environments Using Energy-Task Estimation.,2022,Federico Benzi & Maximilian Brunner & Marco Tognon & Cristian Secchi & Roland Siegwart,journals/ral/BenziBTSS22,https://doi.org/10.1109/LRA.2022.3190074,Robotics
Adaptive Aerial Localization Using Lissajous Search Patterns.,2022,J. Josiah Steckenrider,journals/trob/Steckenrider22,https://doi.org/10.1109/TRO.2021.3126225,Robotics
BioARS: Designing Adaptive and Reconfigurable Bionic Assembly Robotic System with Inchworm Modules.,2020,Yide Liu & Donghao Zhao & Yanhong Chen & Dongqi Wang & Zhou Wen & Ziyi Ye & Jianhui Guo & Haofei Zhou & Shaoxing Qu & Wei Yang,conf/iros/LiuZCWWYGZQY20,https://doi.org/10.1109/IROS45743.2020.9340935,Robotics
One-shot learning of manipulation skills with online dynamics adaptation and neural network priors.,2016,Justin Fu & Sergey Levine & Pieter Abbeel,conf/iros/FuLA16,https://doi.org/10.1109/IROS.2016.7759592,Robotics
An Adaptable; Probabilistic; Next-Best View Algorithm for Reconstruction of Unknown 3-D Objects.,2017,Jonathan Daudelin & Mark E. Campbell,journals/ral/DaudelinC17,https://doi.org/10.1109/LRA.2017.2660769,Robotics
Bio-Inspired Distance Estimation using the Self-Induced Acoustic Signature of a Motor-Propeller System.,2020,Luke Calkins & Joseph F. Lingevitch & Loy McGuire & Jason Geder & Matthew Kelly & Michael M. Zavlanos & Donald Sofge & Daniel M. Lofaro,conf/icra/CalkinsLMGKZSL20,https://doi.org/10.1109/ICRA40945.2020.9197143,Robotics
Adaptive Fuzzy Sliding Mode Control for High-Precision Motion Tracking of a Multi-DOF Micro/Nano Manipulator.,2020,Mohammadali Ghafarian & Bijan Shirinzadeh & Ammar Abdulhussein Lafta Al-Jodah & Tilok Kumar Das,journals/ral/GhafarianSAD20,https://doi.org/10.1109/LRA.2020.2996065,Robotics
